id,studentNumber,firstName,lastName,email,password,formationId
49,STU00049,Samira,Saadi,samira.saadi49@univ.dz,password123,5
50,STU00050,Adnane,Khaldi,adnane.khaldi50@univ.dz,password123,6
51,STU00051,Lina,Jazouli,lina.jazouli51@univ.dz,password123,7
52,STU00052,Taha,Yaacoubi,taha.yaacoubi52@univ.dz,password123,8
53,STU00053,Soukaina,El Idrissi,soukaina.elidrissi53@univ.dz,password123,9
54,STU00054,Salma,Chami,salma.chami54@univ.dz,password123,10
55,STU00055,Youssef,Filali,youssef.filali55@univ.dz,password123,11
56,STU00056,Hanae,Faouzi,hanae.faouzi56@univ.dz,password123,12
57,STU00057,Btissam,Mernissi,btissam.mernissi57@univ.dz,password123,13
58,STU00058,Salim,Bensaid,salim.bensaid58@univ.dz,password123,14
59,STU00059,Oumayma,Faouzi,oumayma.faouzi59@univ.dz,password123,15
60,STU00060,Ghizlane,Touimi,ghizlane.touimi60@univ.dz,password123,16
61,STU00061,Kamal,Loudiyi,kamal.loudiyi61@univ.dz,password123,17
62,STU00062,Ghazi,Hassani,ghazi.hassani62@univ.dz,password123,18
63,STU00063,Aymane,Chraibi,aymane.chraibi63@univ.dz,password123,19
64,STU00064,Wijdan,El Fassi,wijdan.elfassi64@univ.dz,password123,20
65,STU00065,Ghali,Rachidi,ghali.rachidi65@univ.dz,password123,21
66,STU00066,Fares,El Omari,fares.elomari66@univ.dz,password123,22
67,STU00067,Ilham,Naji,ilham.naji67@univ.dz,password123,23
68,STU00068,Salma,Daoudi,salma.daoudi68@univ.dz,password123,24
69,STU00069,Adil,Abouzaid,adil.abouzaid69@univ.dz,password123,25
70,STU00070,Ouafa,Chami,ouafa.chami70@univ.dz,password123,26
71,STU00071,Oumaima,Bachiri,oumaima.bachiri71@univ.dz,password123,27
72,STU00072,Mohamed,Bennani,mohamed.bennani72@univ.dz,password123,28
73,STU00073,Fadoua,Jouahri,fadoua.jouahri73@univ.dz,password123,29
74,STU00074,Nadia,Hajji,nadia.hajji74@univ.dz,password123,30
75,STU00075,Kais,Jouahri,kais.jouahri75@univ.dz,password123,31
76,STU00076,Chafik,Kettani,chafik.kettani76@univ.dz,password123,32
77,STU00077,Samira,Bouzid,samira.bouzid77@univ.dz,password123,33
78,STU00078,Naima,Mansouri,naima.mansouri78@univ.dz,password123,34
79,STU00079,Chadi,Rachidi,chadi.rachidi79@univ.dz,password123,35
80,STU00080,Safae,Makhloufi,safae.makhloufi80@univ.dz,password123,36
81,STU00081,Amine,Errachidi,amine.errachidi81@univ.dz,password123,37
82,STU00082,Wijdan,Kettani,wijdan.kettani82@univ.dz,password123,38
83,STU00083,Btissam,Amiri,btissam.amiri83@univ.dz,password123,39
84,STU00084,Omar,Tadlaoui,omar.tadlaoui84@univ.dz,password123,40
85,STU00085,Zineb,El Hachimi,zineb.elhachimi85@univ.dz,password123,41
86,STU00086,Reda,Rhazi,reda.rhazi86@univ.dz,password123,42
87,STU00087,Fatiha,Mernissi,fatiha.mernissi87@univ.dz,password123,43
88,STU00088,Rachida,Tadlaoui,rachida.tadlaoui88@univ.dz,password123,44
89,STU00089,Abdellah,Fikri,abdellah.fikri89@univ.dz,password123,45
90,STU00090,Ikram,Benkirane,ikram.benkirane90@univ.dz,password123,1
91,STU00091,Fatiha,Faouzi,fatiha.faouzi91@univ.dz,password123,2
92,STU00092,Iman,Laaroussi,iman.laaroussi92@univ.dz,password123,3
93,STU00093,Layla,Ennaji,layla.ennaji93@univ.dz,password123,4
94,STU00094,Abderrahim,Naji,abderrahim.naji94@univ.dz,password123,5
95,STU00095,Soukaina,Chami,soukaina.chami95@univ.dz,password123,6
96,STU00096,Fatima,Filali,fatima.filali96@univ.dz,password123,7
97,STU00097,Basma,Prefsi,basma.prefsi97@univ.dz,password123,8
98,STU00098,Yassine,Ezzahiri,yassine.ezzahiri98@univ.dz,password123,9
99,STU00099,Jamal,Lachgar,jamal.lachgar99@univ.dz,password123,10
100,STU00100,Noureddine,Mouline,noureddine.mouline100@univ.dz,password123,11
101,STU00101,Samir,Qadiri,samir.qadiri101@univ.dz,password123,12
102,STU00102,Mohamed,Jazouli,mohamed.jazouli102@univ.dz,password123,13
103,STU00103,Abdelaziz,El Harrak,abdelaziz.elharrak103@univ.dz,password123,14
104,STU00104,Dina,Bennani,dina.bennani104@univ.dz,password123,15
105,STU00105,Noureddine,Zaidi,noureddine.zaidi105@univ.dz,password123,16
106,STU00106,Dina,Loudiyi,dina.loudiyi106@univ.dz,password123,17
107,STU00107,Fatiha,Jazouli,fatiha.jazouli107@univ.dz,password123,18
108,STU00108,Karima,Oukacha,karima.oukacha108@univ.dz,password123,19
109,STU00109,Omar,Jouahri,omar.jouahri109@univ.dz,password123,20
110,STU00110,Jaouad,Ismaili,jaouad.ismaili110@univ.dz,password123,21
111,STU00111,Btissam,Ezzahiri,btissam.ezzahiri111@univ.dz,password123,22
112,STU00112,Ilham,Filali,ilham.filali112@univ.dz,password123,23
113,STU00113,Taha,El Kadiri,taha.elkadiri113@univ.dz,password123,24
114,STU00114,Wafaa,Chraibi,wafaa.chraibi114@univ.dz,password123,25
115,STU00115,Ghali,Lahlou,ghali.lahlou115@univ.dz,password123,26
116,STU00116,Iman,Mansouri,iman.mansouri116@univ.dz,password123,27
117,STU00117,Farid,Hajji,farid.hajji117@univ.dz,password123,28
118,STU00118,Ali,Jermoumi,ali.jermoumi118@univ.dz,password123,29
119,STU00119,Hassan,Idrissi,hassan.idrissi119@univ.dz,password123,30
120,STU00120,Hiba,Bachiri,hiba.bachiri120@univ.dz,password123,31
121,STU00121,Jaouad,Skalli,jaouad.skalli121@univ.dz,password123,32
122,STU00122,Iman,Naciri,iman.naciri122@univ.dz,password123,33
123,STU00123,Soufiane,El Kadiri,soufiane.elkadiri123@univ.dz,password123,34
124,STU00124,Ikram,Oulhaj,ikram.oulhaj124@univ.dz,password123,35
125,STU00125,Elias,Faouzi,elias.faouzi125@univ.dz,password123,36
126,STU00126,Amina,Ouazzani,amina.ouazzani126@univ.dz,password123,37
127,STU00127,Abdellah,Soussi,abdellah.soussi127@univ.dz,password123,38
128,STU00128,Mounir,Touimi,mounir.touimi128@univ.dz,password123,39
129,STU00129,Amine,Laaroussi,amine.laaroussi129@univ.dz,password123,40
130,STU00130,Farid,Bouzid,farid.bouzid130@univ.dz,password123,41
131,STU00131,Kawtar,Zerhouni,kawtar.zerhouni131@univ.dz,password123,42
132,STU00132,Riad,El Hachimi,riad.elhachimi132@univ.dz,password123,43
133,STU00133,Ayoub,Amiri,ayoub.amiri133@univ.dz,password123,44
134,STU00134,Ghazi,Loudiyi,ghazi.loudiyi134@univ.dz,password123,45
135,STU00135,Oumayma,Jazouli,oumayma.jazouli135@univ.dz,password123,1
136,STU00136,Ghazi,Mansouri,ghazi.mansouri136@univ.dz,password123,2
137,STU00137,Abdelaziz,Makhloufi,abdelaziz.makhloufi137@univ.dz,password123,3
138,STU00138,Jamila,Ennaji,jamila.ennaji138@univ.dz,password123,4
139,STU00139,Ali,Zaki,ali.zaki139@univ.dz,password123,5
140,STU00140,Latifa,Lamrani,latifa.lamrani140@univ.dz,password123,6
141,STU00141,Omar,Meziane,omar.meziane141@univ.dz,password123,7
142,STU00142,Jamal,Prefsi,jamal.prefsi142@univ.dz,password123,8
143,STU00143,Abdelkader,Benabdallah,abdelkader.benabdallah143@univ.dz,password123,9
144,STU00144,Brahim,Meziane,brahim.meziane144@univ.dz,password123,10
145,STU00145,Ghita,El Amrani,ghita.elamrani145@univ.dz,password123,11
146,STU00146,Lina,Faouzi,lina.faouzi146@univ.dz,password123,12
147,STU00147,Rania,Yaacoubi,rania.yaacoubi147@univ.dz,password123,13
148,STU00148,Samira,Qorchi,samira.qorchi148@univ.dz,password123,14
149,STU00149,Tarik,Bekkali,tarik.bekkali149@univ.dz,password123,15
150,STU00150,Walid,Ouhssain,walid.ouhssain150@univ.dz,password123,16
151,STU00151,Hanae,Hassani,hanae.hassani151@univ.dz,password123,17
152,STU00152,Driss,Zaidi,driss.zaidi152@univ.dz,password123,18
153,STU00153,Tarik,Sefrioui,tarik.sefrioui153@univ.dz,password123,19
154,STU00154,Sara,Mernissi,sara.mernissi154@univ.dz,password123,20
155,STU00155,Malika,Tadlaoui,malika.tadlaoui155@univ.dz,password123,21
156,STU00156,Wafaa,Berrada,wafaa.berrada156@univ.dz,password123,22
157,STU00157,Amine,Berrada,amine.berrada157@univ.dz,password123,23
158,STU00158,Youssef,Bensaid,youssef.bensaid158@univ.dz,password123,24
159,STU00159,Soukaina,Errachidi,soukaina.errachidi159@univ.dz,password123,25
160,STU00160,Anass,Bensaid,anass.bensaid160@univ.dz,password123,26
161,STU00161,Zahra,Ezzahiri,zahra.ezzahiri161@univ.dz,password123,27
162,STU00162,Touria,Jouahri,touria.jouahri162@univ.dz,password123,28
163,STU00163,Amine,Mansouri,amine.mansouri163@univ.dz,password123,29
164,STU00164,Omar,Chami,omar.chami164@univ.dz,password123,30
165,STU00165,Yassine,Fikri,yassine.fikri165@univ.dz,password123,31
166,STU00166,Lina,Sabri,lina.sabri166@univ.dz,password123,32
167,STU00167,Reda,Nejjar,reda.nejjar167@univ.dz,password123,33
168,STU00168,Fayçal,Zaidi,fayçal.zaidi168@univ.dz,password123,34
169,STU00169,Aymane,Chraibi,aymane.chraibi169@univ.dz,password123,35
170,STU00170,Wassim,Yaacoubi,wassim.yaacoubi170@univ.dz,password123,36
171,STU00171,Mehdi,Machkour,mehdi.machkour171@univ.dz,password123,37
172,STU00172,Ilham,Hassani,ilham.hassani172@univ.dz,password123,38
173,STU00173,Ghizlane,Machkour,ghizlane.machkour173@univ.dz,password123,39
174,STU00174,Fares,Soussi,fares.soussi174@univ.dz,password123,40
175,STU00175,Idriss,Prefsi,idriss.prefsi175@univ.dz,password123,41
176,STU00176,Zahra,Alaoui,zahra.alaoui176@univ.dz,password123,42
177,STU00177,Oumaima,Skalli,oumaima.skalli177@univ.dz,password123,43
178,STU00178,Dina,Nejjar,dina.nejjar178@univ.dz,password123,44
179,STU00179,Kawtar,Jermoumi,kawtar.jermoumi179@univ.dz,password123,45
180,STU00180,Jalal,Machkour,jalal.machkour180@univ.dz,password123,1
181,STU00181,Rajae,Idrissi,rajae.idrissi181@univ.dz,password123,2
182,STU00182,Hachem,Abouzaid,hachem.abouzaid182@univ.dz,password123,3
183,STU00183,Aymane,Sabri,aymane.sabri183@univ.dz,password123,4
184,STU00184,Nadia,Wahbi,nadia.wahbi184@univ.dz,password123,5
185,STU00185,Yasmine,Yamani,yasmine.yamani185@univ.dz,password123,6
186,STU00186,Younes,El Ghazi,younes.elghazi186@univ.dz,password123,7
187,STU00187,Adil,Belkadi,adil.belkadi187@univ.dz,password123,8
188,STU00188,Nisrine,Belkadi,nisrine.belkadi188@univ.dz,password123,9
189,STU00189,Loubna,Ghannam,loubna.ghannam189@univ.dz,password123,10
190,STU00190,Sanaa,Naji,sanaa.naji190@univ.dz,password123,11
191,STU00191,Iman,Wahbi,iman.wahbi191@univ.dz,password123,12
192,STU00192,Hachem,Nejjar,hachem.nejjar192@univ.dz,password123,13
193,STU00193,Chaimae,Zeroual,chaimae.zeroual193@univ.dz,password123,14
194,STU00194,Younes,Bouzid,younes.bouzid194@univ.dz,password123,15
195,STU00195,Nassim,Doukkali,nassim.doukkali195@univ.dz,password123,16
196,STU00196,Ghali,Rachidi,ghali.rachidi196@univ.dz,password123,17
197,STU00197,Oumayma,Mouline,oumayma.mouline197@univ.dz,password123,18
198,STU00198,Chafik,Nejjar,chafik.nejjar198@univ.dz,password123,19
199,STU00199,Taha,Dahbi,taha.dahbi199@univ.dz,password123,20
200,STU00200,Rachida,Bouzid,rachida.bouzid200@univ.dz,password123,21
201,STU00201,Wassim,Rahmani,wassim.rahmani201@univ.dz,password123,22
202,STU00202,Siham,Raji,siham.raji202@univ.dz,password123,23
203,STU00203,Mounir,Jazouli,mounir.jazouli203@univ.dz,password123,24
204,STU00204,Hafid,Meziane,hafid.meziane204@univ.dz,password123,25
205,STU00205,Chadi,Qadiri,chadi.qadiri205@univ.dz,password123,26
206,STU00206,Jalal,Rhazi,jalal.rhazi206@univ.dz,password123,27
207,STU00207,Tariq,Daoudi,tariq.daoudi207@univ.dz,password123,28
208,STU00208,Kawtar,Mansouri,kawtar.mansouri208@univ.dz,password123,29
209,STU00209,Fatiha,Dahbi,fatiha.dahbi209@univ.dz,password123,30
210,STU00210,Fatima,Makhloufi,fatima.makhloufi210@univ.dz,password123,31
211,STU00211,Imad,Dahbi,imad.dahbi211@univ.dz,password123,32
212,STU00212,Fadoua,Prefsi,fadoua.prefsi212@univ.dz,password123,33
213,STU00213,Fares,Alaoui,fares.alaoui213@univ.dz,password123,34
214,STU00214,Fatiha,El Maachi,fatiha.elmaachi214@univ.dz,password123,35
215,STU00215,Ismail,Ouazzani,ismail.ouazzani215@univ.dz,password123,36
216,STU00216,Ayoub,Touimi,ayoub.touimi216@univ.dz,password123,37
217,STU00217,Othmane,Hassani,othmane.hassani217@univ.dz,password123,38
218,STU00218,Hakim,Yamani,hakim.yamani218@univ.dz,password123,39
219,STU00219,Mounir,Mansouri,mounir.mansouri219@univ.dz,password123,40
220,STU00220,Salim,Loudiyi,salim.loudiyi220@univ.dz,password123,41
221,STU00221,Fatima,Ennaji,fatima.ennaji221@univ.dz,password123,42
222,STU00222,Ahmed,Lahlou,ahmed.lahlou222@univ.dz,password123,43
223,STU00223,Najat,Bouzid,najat.bouzid223@univ.dz,password123,44
224,STU00224,Zineb,Soussi,zineb.soussi224@univ.dz,password123,45
225,STU00225,Wassim,Meziane,wassim.meziane225@univ.dz,password123,1
226,STU00226,Khalid,Skalli,khalid.skalli226@univ.dz,password123,2
227,STU00227,Abdellah,Mernissi,abdellah.mernissi227@univ.dz,password123,3
228,STU00228,Amine,Mernissi,amine.mernissi228@univ.dz,password123,4
229,STU00229,Riad,Hassani,riad.hassani229@univ.dz,password123,5
230,STU00230,Dounia,Sefrioui,dounia.sefrioui230@univ.dz,password123,6
231,STU00231,Sami,Skalli,sami.skalli231@univ.dz,password123,7
232,STU00232,Reda,Amiri,reda.amiri232@univ.dz,password123,8
233,STU00233,Chadi,Bouhaj,chadi.bouhaj233@univ.dz,password123,9
234,STU00234,Yassine,Bouhaj,yassine.bouhaj234@univ.dz,password123,10
235,STU00235,Hicham,El Ghazi,hicham.elghazi235@univ.dz,password123,11
236,STU00236,Aicha,Bekkali,aicha.bekkali236@univ.dz,password123,12
237,STU00237,Taha,Makhloufi,taha.makhloufi237@univ.dz,password123,13
238,STU00238,Safae,Guessous,safae.guessous238@univ.dz,password123,14
239,STU00239,Jamal,Zerhouni,jamal.zerhouni239@univ.dz,password123,15
240,STU00240,Soukaina,Guessous,soukaina.guessous240@univ.dz,password123,16
241,STU00241,Jaouad,Laroui,jaouad.laroui241@univ.dz,password123,17
242,STU00242,Abderrahim,Jermoumi,abderrahim.jermoumi242@univ.dz,password123,18
243,STU00243,Khalid,Ezzahiri,khalid.ezzahiri243@univ.dz,password123,19
244,STU00244,Chakib,Naji,chakib.naji244@univ.dz,password123,20
245,STU00245,Ikram,Benjelloun,ikram.benjelloun245@univ.dz,password123,21
246,STU00246,Hamza,Tahiri,hamza.tahiri246@univ.dz,password123,22
247,STU00247,Zainab,Bouhaj,zainab.bouhaj247@univ.dz,password123,23
248,STU00248,Brahim,Rachidi,brahim.rachidi248@univ.dz,password123,24
249,STU00249,Oumaima,Bachiri,oumaima.bachiri249@univ.dz,password123,25
250,STU00250,Reda,Haddad,reda.haddad250@univ.dz,password123,26
251,STU00251,Adil,Laaroussi,adil.laaroussi251@univ.dz,password123,27
252,STU00252,Oussama,Oukacha,oussama.oukacha252@univ.dz,password123,28
253,STU00253,Karim,Ezzahiri,karim.ezzahiri253@univ.dz,password123,29
254,STU00254,Samir,Loudiyi,samir.loudiyi254@univ.dz,password123,30
255,STU00255,Yassine,Soussi,yassine.soussi255@univ.dz,password123,31
256,STU00256,Zahra,Soussi,zahra.soussi256@univ.dz,password123,32
257,STU00257,Said,Alaoui,said.alaoui257@univ.dz,password123,33
258,STU00258,Fadoua,Mouline,fadoua.mouline258@univ.dz,password123,34
259,STU00259,Asmae,Zaki,asmae.zaki259@univ.dz,password123,35
260,STU00260,Abdelaziz,Rachidi,abdelaziz.rachidi260@univ.dz,password123,36
261,STU00261,Brahim,Jazouli,brahim.jazouli261@univ.dz,password123,37
262,STU00262,Jamila,Chraibi,jamila.chraibi262@univ.dz,password123,38
263,STU00263,Sanaa,Makhloufi,sanaa.makhloufi263@univ.dz,password123,39
264,STU00264,Jamal,Ouladali,jamal.ouladali264@univ.dz,password123,40
265,STU00265,Latifa,Yaacoubi,latifa.yaacoubi265@univ.dz,password123,41
266,STU00266,Salim,Zerhouni,salim.zerhouni266@univ.dz,password123,42
267,STU00267,Mounir,Zaki,mounir.zaki267@univ.dz,password123,43
268,STU00268,Hassan,Bennani,hassan.bennani268@univ.dz,password123,44
269,STU00269,Yahya,Loudiyi,yahya.loudiyi269@univ.dz,password123,45
270,STU00270,Jamila,Chaoui,jamila.chaoui270@univ.dz,password123,1
271,STU00271,Jamila,Chami,jamila.chami271@univ.dz,password123,2
272,STU00272,Ghali,Dahbi,ghali.dahbi272@univ.dz,password123,3
273,STU00273,Jalal,Hamidi,jalal.hamidi273@univ.dz,password123,4
274,STU00274,Ikram,Chraibi,ikram.chraibi274@univ.dz,password123,5
275,STU00275,Hakim,Bouzid,hakim.bouzid275@univ.dz,password123,6
276,STU00276,Najat,Jazouli,najat.jazouli276@univ.dz,password123,7
277,STU00277,El Mehdi,Prefsi,elmehdi.prefsi277@univ.dz,password123,8
278,STU00278,Oumaima,Nejjar,oumaima.nejjar278@univ.dz,password123,9
279,STU00279,Hassan,Chami,hassan.chami279@univ.dz,password123,10
280,STU00280,Zouhair,Jazouli,zouhair.jazouli280@univ.dz,password123,11
281,STU00281,Zakaria,Daoudi,zakaria.daoudi281@univ.dz,password123,12
282,STU00282,Fares,El Hachimi,fares.elhachimi282@univ.dz,password123,13
283,STU00283,Nabil,Chraibi,nabil.chraibi283@univ.dz,password123,14
284,STU00284,Zakaria,Lahlou,zakaria.lahlou284@univ.dz,password123,15
285,STU00285,Meryem,Faouzi,meryem.faouzi285@univ.dz,password123,16
286,STU00286,Oumayma,Lamrani,oumayma.lamrani286@univ.dz,password123,17
287,STU00287,Amine,Bensaid,amine.bensaid287@univ.dz,password123,18
288,STU00288,Moad,Errachidi,moad.errachidi288@univ.dz,password123,19
289,STU00289,Noureddine,Ouazzani,noureddine.ouazzani289@univ.dz,password123,20
290,STU00290,Ghazi,Tazi,ghazi.tazi290@univ.dz,password123,21
291,STU00291,Hamza,El Idrissi,hamza.elidrissi291@univ.dz,password123,22
292,STU00292,Hassan,Touimi,hassan.touimi292@univ.dz,password123,23
293,STU00293,Chaima,Lamrani,chaima.lamrani293@univ.dz,password123,24
294,STU00294,Ali,Zaidi,ali.zaidi294@univ.dz,password123,25
295,STU00295,Dina,Berrada,dina.berrada295@univ.dz,password123,26
296,STU00296,Nadia,Rahmani,nadia.rahmani296@univ.dz,password123,27
297,STU00297,Bilal,Raji,bilal.raji297@univ.dz,password123,28
298,STU00298,Rachida,Berrada,rachida.berrada298@univ.dz,password123,29
299,STU00299,Yahya,El Maachi,yahya.elmaachi299@univ.dz,password123,30
300,STU00300,Basma,Mansouri,basma.mansouri300@univ.dz,password123,31
301,STU00301,Rajae,Doukkali,rajae.doukkali301@univ.dz,password123,32
302,STU00302,Mohamed,Bouzid,mohamed.bouzid302@univ.dz,password123,33
303,STU00303,Tariq,Meziane,tariq.meziane303@univ.dz,password123,34
304,STU00304,Adil,Benkirane,adil.benkirane304@univ.dz,password123,35
305,STU00305,Houda,Jermoumi,houda.jermoumi305@univ.dz,password123,36
306,STU00306,Fares,El Idrissi,fares.elidrissi306@univ.dz,password123,37
307,STU00307,Hiba,Mouline,hiba.mouline307@univ.dz,password123,38
308,STU00308,Zineb,Ismaili,zineb.ismaili308@univ.dz,password123,39
309,STU00309,Kawtar,Abouzaid,kawtar.abouzaid309@univ.dz,password123,40
310,STU00310,Najat,Benabdallah,najat.benabdallah310@univ.dz,password123,41
311,STU00311,Najat,Oulhaj,najat.oulhaj311@univ.dz,password123,42
312,STU00312,Taha,Raji,taha.raji312@univ.dz,password123,43
313,STU00313,Saida,Bennani,saida.bennani313@univ.dz,password123,44
314,STU00314,Ahmed,Makhloufi,ahmed.makhloufi314@univ.dz,password123,45
315,STU00315,Nadia,Makhloufi,nadia.makhloufi315@univ.dz,password123,1
316,STU00316,Radouane,Boutaleb,radouane.boutaleb316@univ.dz,password123,2
317,STU00317,Iman,Alaoui,iman.alaoui317@univ.dz,password123,3
318,STU00318,Wijdan,Rahmani,wijdan.rahmani318@univ.dz,password123,4
319,STU00319,Loubna,El Baz,loubna.elbaz319@univ.dz,password123,5
320,STU00320,Layla,Tadlaoui,layla.tadlaoui320@univ.dz,password123,6
321,STU00321,Soufiane,El Idrissi,soufiane.elidrissi321@univ.dz,password123,7
322,STU00322,Mohamed,Benkirane,mohamed.benkirane322@univ.dz,password123,8
323,STU00323,Rajae,Ennaji,rajae.ennaji323@univ.dz,password123,9
324,STU00324,Asmae,El Idrissi,asmae.elidrissi324@univ.dz,password123,10
325,STU00325,Ghali,Chaoui,ghali.chaoui325@univ.dz,password123,11
326,STU00326,Driss,Berrada,driss.berrada326@univ.dz,password123,12
327,STU00327,Lamrani,Ouazzani,lamrani.ouazzani327@univ.dz,password123,13
328,STU00328,Ismail,Fikri,ismail.fikri328@univ.dz,password123,14
329,STU00329,Najat,Jazouli,najat.jazouli329@univ.dz,password123,15
330,STU00330,Driss,Benabdallah,driss.benabdallah330@univ.dz,password123,16
331,STU00331,Oumaima,Naji,oumaima.naji331@univ.dz,password123,17
332,STU00332,Badr,Mernissi,badr.mernissi332@univ.dz,password123,18
333,STU00333,Siham,Laroui,siham.laroui333@univ.dz,password123,19
334,STU00334,Fares,Faouzi,fares.faouzi334@univ.dz,password123,20
335,STU00335,Abir,El Maachi,abir.elmaachi335@univ.dz,password123,21
336,STU00336,Yasmine,Ouhssain,yasmine.ouhssain336@univ.dz,password123,22
337,STU00337,Zahra,El Fassi,zahra.elfassi337@univ.dz,password123,23
338,STU00338,Ghizlane,El Maachi,ghizlane.elmaachi338@univ.dz,password123,24
339,STU00339,Lina,Hamidi,lina.hamidi339@univ.dz,password123,25
340,STU00340,Amina,Dahbi,amina.dahbi340@univ.dz,password123,26
341,STU00341,Yahya,Amiri,yahya.amiri341@univ.dz,password123,27
342,STU00342,Sanaa,El Moussaoui,sanaa.elmoussaoui342@univ.dz,password123,28
343,STU00343,Siham,Hamidi,siham.hamidi343@univ.dz,password123,29
344,STU00344,Rachida,Amiri,rachida.amiri344@univ.dz,password123,30
345,STU00345,Yahya,Bouzid,yahya.bouzid345@univ.dz,password123,31
346,STU00346,Loubna,Mansouri,loubna.mansouri346@univ.dz,password123,32
347,STU00347,Younes,Bachiri,younes.bachiri347@univ.dz,password123,33
348,STU00348,Youssef,Kadmiri,youssef.kadmiri348@univ.dz,password123,34
349,STU00349,Chadi,Fikri,chadi.fikri349@univ.dz,password123,35
350,STU00350,Kamal,Qadiri,kamal.qadiri350@univ.dz,password123,36
351,STU00351,Wijdan,Bekkali,wijdan.bekkali351@univ.dz,password123,37
352,STU00352,Zahra,Jazouli,zahra.jazouli352@univ.dz,password123,38
353,STU00353,Aymane,Kettani,aymane.kettani353@univ.dz,password123,39
354,STU00354,Oumayma,Bennani,oumayma.bennani354@univ.dz,password123,40
355,STU00355,Soufiane,Abouzaid,soufiane.abouzaid355@univ.dz,password123,41
356,STU00356,Khadija,Khaldi,khadija.khaldi356@univ.dz,password123,42
357,STU00357,Fatiha,Tadlaoui,fatiha.tadlaoui357@univ.dz,password123,43
358,STU00358,Jamila,Raissouni,jamila.raissouni358@univ.dz,password123,44
359,STU00359,Naima,Errachidi,naima.errachidi359@univ.dz,password123,45
